,delta,delta_conf,S1,S1_conf
LT,0.21960773537524736,0.006467748277070104,0.17353773348068044,0.01577270241213382
bin_CuSint,0.1937984717497183,0.009402557070705222,0.3803166045666961,0.020566094726477177
P_movpe_tool,0.13716551687298367,0.006277219491564099,0.06877803528299757,0.009185983970179157
RT_movpe,0.12622472832274703,0.006077258320225351,0.044658833923262024,0.0070064407514040935
bin_FM,0.12135415256652289,0.005348679233381837,0.05266027334980706,0.005765682999510406
Irrad,0.1073115935386066,0.005232874924408698,0.029647380436318146,0.00694753629808822
pi_FM,0.08236499557254415,0.005053814402343221,0.010010172333372131,0.0033483399932052135
Eff_PV,0.08160107511714809,0.005224072519288115,0.012034732553941453,0.004419620878610489
pi_CuSint,0.07998013325356298,0.004268807313678584,0.006322597520258339,0.003515386592475667
scSi_CZ,0.07765013821105812,0.0037019373701244287,0.006926843588593855,0.0028176519657657838
Glass_panel,0.07566667860943825,0.003702581507487149,0.004992013684782593,0.002458911262959482
Al_panel,0.07498103464925218,0.004000640605902512,0.005589021508147246,0.0023177012576829394
Elec_Siem,0.07402561782547384,0.0040022338733973085,0.004363048309800968,0.003111695113107894
pi_NPsynthAg,0.07399242880292334,0.004396120827164772,0.00525054754007833,0.002721310173017154
Cu_zeol,0.07273332633622315,0.004218766570219242,0.0055389643793674675,0.002234271233537929
Elec_CZ,0.06975560893309705,0.0033762739845745915,0.0035959717975674412,0.001824770780903923
PR_PV,0.0696164403112247,0.0034431702210279648,0.007207255246792499,0.0025962950997360152
Zeol_scrub,0.0688904984996891,0.0037906280262569804,0.0033153948466444452,0.0024702402070309803
Heat_Siem,0.06747197001932426,0.0034788094760634203,0.003199987762999311,0.0020761663017938256
pi_AgSint,0.06606789399041806,0.003781150344805093,0.0024796124294089285,0.0019914643854464656
Elec_panel,0.06603845332288567,0.003797557345345824,0.002089085438571856,0.002261716011251926
bin_NPsynthAg,0.06514226834281311,0.0029587898570490405,0.0019090835754733584,0.0011178687546183586
pi_NPsynthCu,0.06444417954192132,0.003899777057741146,0.006960225107667754,0.002507414055622214
bin_AgSint,0.06266676141398848,0.002802616208885326,0.0034478448789177435,0.0013148296875658213
Cu_rec,0.06214177875265757,0.0025887002016307106,0.001613933304466549,0.0011979761295973536
bin_NPsynthCu,0.05859451033089909,0.002759187739152249,0.003442883384566704,0.0012856614569732036
